x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,1620.42648294224,3
0.003,0.0,0.0,0.0,1412.24688662343,2
0.006,0.0,0.0,0.0,1123.42334689509,2
0.009,0.0,0.0,0.0,956.377940561336,2
0.012,0.0,0.0,0.0,861.271591828291,2
0.015,0.0,0.0,0.0,802.619816113547,2
0.018,0.0,0.0,0.0,764.241994620317,2
0.021,0.0,0.0,0.0,737.608956149051,2
0.024,0.0,0.0,0.0,718.252170140223,2
0.027,0.0,0.0,0.0,703.640031839679,2
0.03,0.0,0.0,0.0,692.266813013888,2
0.033,0.0,0.0,0.0,683.188101872281,2
0.036,0.0,0.0,0.0,675.7850724942,2
0.039,0.0,0.0,0.0,669.636323570088,2
0.042,0.0,0.0,0.0,664.445388570031,2
0.045,0.0,0.0,0.0,659.9978199431,2
0.048,0.0,0.0,0.0,656.134791047936,2
0.051,0.0,0.0,0.0,652.736274829614,2
0.054,0.0,0.0,0.0,649.709984947141,2
0.057,0.0,0.0,0.0,646.983898602839,2
0.06,0.0,0.0,0.0,644.501072097619,2
0.063,0.0,0.0,0.0,642.215962957285,2
0.066,0.0,0.0,0.0,640.091765458063,2
0.069,0.0,0.0,0.0,638.098442125515,2
0.072,0.0,0.0,0.0,636.211242071849,2
0.075,0.0,0.0,0.0,634.409565407584,2
0.078,0.0,0.0,0.0,632.676077099849,2
0.081,0.0,0.0,0.0,630.996002724618,2
0.084,0.0,0.0,0.0,629.356558072672,2
0.087,0.0,0.0,0.0,627.746477891577,2
0.09,0.0,0.0,0.0,626.155618291369,2
0.093,0.0,0.0,0.0,624.57461386064,2
0.096,0.0,0.0,0.0,622.994575212805,2
0.099,0.0,0.0,0.0,621.406816094334,2
0.102,0.0,0.0,0.0,619.80260173413,2
0.105,0.0,0.0,0.0,618.172912070469,2
0.108,0.0,0.0,0.0,616.508215053495,2
0.111,0.0,0.0,0.0,614.798246529145,2
0.114,0.0,0.0,0.0,613.031794370903,2
0.117,0.0,0.0,0.0,611.196485621693,2
0.12,0.0,0.0,0.0,609.278576505148,2
0.123,0.0,0.0,0.0,607.262746316547,2
0.126,0.0,0.0,0.0,605.13189745108,2
0.129,0.0,0.0,0.0,602.866965201869,2
0.132,0.0,0.0,0.0,600.446742480401,2
0.135,0.0,0.0,0.0,597.847726278791,2
0.138,0.0,0.0,0.0,595.043994485241,2
0.141,0.0,0.0,0.0,592.007123530102,2
0.144,0.0,0.0,0.0,588.706159190956,2
0.147,0.0,0.0,0.0,585.107654585215,2
0.15,0.0,0.0,0.0,581.175790737406,2
0.153,0.0,0.0,0.0,576.872595876167,2
0.156,0.0,0.0,0.0,572.158279486581,2
0.159,0.0,0.0,0.0,566.991695765225,2
0.162,0.0,0.0,0.0,561.330948128376,2
0.165,0.0,0.0,0.0,555.134141464904,2
0.168,0.0,0.0,0.0,548.360281653816,2
0.171,0.0,0.0,0.0,540.970312409438,2
0.174,0.0,0.0,0.0,532.928267977659,2
0.177,0.0,0.0,0.0,524.202507158134,2
0.18,0.0,0.0,0.0,514.766980583179,2
0.183,0.0,0.0,0.0,504.602470609194,2
0.186,0.0,0.0,0.0,493.697733409138,2
0.189,0.0,0.0,0.0,482.050467912846,2
0.192,0.0,0.0,0.0,469.668038008184,2
0.195,0.0,0.0,0.0,456.567884229152,2
0.198,0.0,0.0,0.0,442.777579379846,2
0.201,0.0,0.0,0.0,428.334508214083,2
0.204,0.0,0.0,0.0,413.285181981854,2
0.207,0.0,0.0,0.0,397.684230642302,2
0.21,0.0,0.0,0.0,381.593144330495,2
0.213,0.0,0.0,0.0,365.078856789665,2
0.216,0.0,0.0,0.0,348.212273454621,2
0.219,0.0,0.0,0.0,331.066844017991,2
0.222,0.0,0.0,0.0,313.717264264891,2
0.225,0.0,0.0,0.0,296.238367695436,2
0.228,0.0,0.0,0.0,278.704238799462,2
0.231,0.0,0.0,0.0,261.187552634558,2
0.234,0.0,0.0,0.0,243.759125387385,2
0.237,0.0,0.0,0.0,226.487652680233,2
0.24,0.0,0.0,0.0,209.439619666044,2
0.243,0.0,0.0,0.0,192.679390674487,2
0.246,0.0,0.0,0.0,176.269525930546,2
0.249,0.0,0.0,0.0,160.271427442453,2
0.252,0.0,0.0,0.0,144.746484860321,2
0.255,0.0,0.0,0.0,129.757976731517,2
0.258,0.0,0.0,0.0,115.374090058262,2
0.261,0.0,0.0,0.0,101.672567367542,2
0.264,0.0,0.0,0.0,88.7477065975475,2
0.267,0.0,0.0,0.0,76.7207827740528,2
0.27,0.0,0.0,0.0,65.7555321109416,2
0.273,0.0,0.0,0.0,56.0813484172821,2
0.276,0.0,0.0,0.0,48.0285579059288,2
0.279,0.0,0.0,0.0,42.0837450371573,2
0.282,0.0,0.0,0.0,38.977397059748,2
0.285,0.0,0.0,0.0,39.8370719380562,2
0.288,0.0,0.0,0.0,46.4093943441814,2
0.291,0.0,0.0,0.0,61.6561772482838,2
0.294,0.0,0.0,0.0,89.6045298263976,2
0.297,0.0,0.0,0.0,140.760427247126,2
0.3,0.0,0.0,0.0,210.225244582325,4
0.0,0.002,2.0,0.0,1650.23697849515,3
0.003,0.002,1.14110884937403,0.1486615031579,1425.60029885145,1
0.006,0.002,0.892383312820117,0.130237358835359,1134.3027644662,1
0.009,0.002,0.712409352091618,0.0907819396224671,971.461151270697,1
0.012,0.002,0.584913575691877,0.0636739385170386,873.379248068695,1
0.015,0.002,0.492304717117897,0.0455619815496296,812.382757324757,1
0.018,0.002,0.423500351100958,0.033666435726265,771.928180326009,1
0.021,0.002,0.371049678233158,0.0256152647459618,743.724018018922,1
0.024,0.002,0.330113836318609,0.0199968335877329,723.172546476937,1
0.027,0.002,0.297502457496775,0.0159480385481781,707.65143185543,1
0.03,0.002,0.271069968274384,0.0129444063015893,695.576578456438,1
0.033,0.002,0.249336394529609,0.0106578397601352,685.947978104862,1
0.036,0.002,0.231254740388071,0.0088775550071514,678.107173037315,1
0.039,0.002,0.216066242470285,0.0074641196424032,671.60473063716,1
0.042,0.002,0.20320872393379,0.0063227424479183,666.124131750648,1
0.045,0.002,0.19225727056641,0.0053873065943415,661.436395415145,1
0.048,0.002,0.182884958409014,0.0046105974510661,657.371998273366,1
0.051,0.002,0.174836279188333,0.0039581628431622,653.802916395427,1
0.054,0.002,0.167908782556418,0.0034043597568671,650.630791563518,1
0.057,0.002,0.161940149091049,0.0029297487391137,647.778920697205,1
0.06,0.002,0.15679892591994,0.0025193390154796,645.186699430835,1
0.063,0.002,0.152377779842685,0.0021613827179193,642.805681336874,1
0.066,0.002,0.148588511728728,0.0018465310492181,640.59672511978,1
0.069,0.002,0.145358323495862,0.001567233703406,638.527889430302,1
0.072,0.002,0.142626989486746,0.0013173047653853,636.572850761256,1
0.075,0.002,0.140344690004366,0.001091604485694,634.709693186804,1
0.078,0.002,0.138470335857113,0.0008858029993193,632.919966109635,1
0.081,0.002,0.136970261198118,0.0006962028786325,631.187937445516,1
0.084,0.002,0.135817195400911,0.0005196045589206,629.49999067421,1
0.087,0.002,0.134989448109411,0.0003532034772986,627.844128531101,1
0.09,0.002,0.134470258130944,0.0001945110445695,626.209556071906,1
0.093,0.002,0.134247268615576,4.12938436466096e-05,624.586322865062,1
0.096,0.002,0.134312099395283,-0.0001084729500516,622.965009099354,1
0.099,0.002,0.134659993399998,-0.0002566407851084,621.336444067258,1
0.102,0.002,0.135289518382535,-0.0004049136144215,619.691448223346,1
0.105,0.002,0.136202308229662,-0.0005548658534079,618.020592116541,1
0.108,0.002,0.137402830237444,-0.0007079533733494,616.313967162943,1
0.111,0.002,0.138898166121261,-0.0008655181443624,614.560964613508,1
0.114,0.002,0.140697795391416,-0.0010287868865095,612.750060290224,1
0.117,0.002,0.142813370193493,-0.0011988639017935,610.868603801877,1
0.12,0.002,0.145258470906754,-0.0013767181355126,608.902612073469,1
0.123,0.002,0.148048331823054,-0.001563164450334,606.836568185403,1
0.126,0.002,0.151199526203554,-0.001758839093319,604.653227760939,1
0.129,0.002,0.154729600051006,-0.0019641694021681,602.333436492769,1
0.132,0.002,0.158656644178248,-0.0021793379428252,599.855963877484,1
0.135,0.002,0.16299879475743,-0.0024042415093363,597.197359828542,1
0.138,0.002,0.167773653682174,-0.0026384457622424,594.331842540332,1
0.141,0.002,0.172997621972835,-0.0028811367457732,591.231227725008,1
0.144,0.002,0.178685142326228,-0.0031310711132576,587.864911050746,1
0.147,0.002,0.184847850980767,-0.0033865276006459,584.199917141726,1
0.15,0.002,0.191493644538678,-0.0036452630993426,580.201029672845,1
0.153,0.002,0.198625674401509,-0.0039044775470088,575.831017669326,1
0.156,0.002,0.206241290065305,-0.00416079270214,571.050972816382,1
0.159,0.002,0.214330962544093,-0.0044102505803456,565.820771073629,1
0.162,0.002,0.222877230253464,-0.0046483377517637,560.099668839401,1
0.165,0.002,0.231853721079306,-0.0048700416378595,553.847039020987,1
0.168,0.002,0.241224314996414,-0.0050699441887839,547.023245432016,1
0.171,0.002,0.250942520017573,-0.0052423566650226,539.590644924522,1
0.174,0.002,0.260951138645779,-0.0053814965396011,531.514695797023,1
0.177,0.002,0.271182300394403,-0.0054817037451375,522.765138869857,1
0.18,0.002,0.281557926452294,-0.0055376887609534,513.317205152,1
0.183,0.002,0.291990673806891,-0.0055447997559124,503.152792606514,1
