x,y,ux,uy,p
0,0,0,0,-2378.64645883615
0.003,0,0,0,-710.073328481844
0.006,0,0,0,133.785114821114
0.009,0,0,0,499.701775866645
0.012,0,0,0,716.199856519112
0.015,0,0,0,848.508548322725
0.018,0,0,0,938.355937301798
0.021,0,0,0,1003.05125681527
0.024,0,0,0,1052.16414873092
0.027,0,0,0,1090.93304686694
0.03,0,0,0,1122.49305471779
0.033,0,0,0,1148.80248197634
0.036,0,0,0,1171.14345396234
0.039,0,0,0,1190.38633589895
0.042,0,0,0,1207.1408739398
0.045,0,0,0,1221.84562763477
0.048,0,0,0,1234.8231825199
0.051,0,0,0,1246.31538106953
0.054,0,0,0,1256.50648623491
0.057,0,0,0,1265.53880397043
0.06,0,0,0,1273.52345453846
0.063,0,0,0,1280.54793985243
0.066,0,0,0,1286.68154485972
0.069,0,0,0,1291.97924382141
0.072,0,0,0,1296.48455523217
0.075,0,0,0,1300.2316452145
0.078,0,0,0,1303.24688606324
0.081,0,0,0,1305.55001514917
0.084,0,0,0,1307.15499814822
0.087,0,0,0,1308.07067249153
0.09,0,0,0,1308.30122759828
0.093,0,0,0,1307.84656502025
0.096,0,0,0,1306.70257224067
0.099,0,0,0,1304.86133729776
0.102,0,0,0,1302.31132680693
0.105,0,0,0,1299.03754674983
0.108,0,0,0,1295.02170316278
0.111,0,0,0,1290.24237827214
0.114,0,0,0,1284.67523643917
0.117,0,0,0,1278.29327327813
0.12,0,0,0,1271.06712030998
0.123,0,0,0,1262.96541633478
0.126,0,0,0,1253.95525518445
0.129,0,0,0,1244.0027175025
0.132,0,0,0,1233.0734915561
0.135,0,0,0,1221.13358471884
0.138,0,0,0,1208.15012311455
0.141,0,0,0,1194.09223199855
0.144,0,0,0,1178.93198386877
0.147,0,0,0,1162.64539524984
0.15,0,0,0,1145.21344689519
0.153,0,0,0,1126.6230962408
0.156,0,0,0,1106.86824585649
0.159,0,0,0,1085.95062798276
0.162,0,0,0,1063.88056363137
0.165,0,0,0,1040.67755572416
0.168,0,0,0,1016.37067975317
0.171,0,0,0,990.99874262925
0.174,0,0,0,964.610190591008
0.177,0,0,0,937.26275974372
0.18,0,0,0,909.022877095327
0.183,0,0,0,879.964834648527
0.186,0,0,0,850.16977279807
0.189,0,0,0,819.724520553767
0.192,0,0,0,788.720347721422
0.195,0,0,0,757.251687254523
0.198,0,0,0,725.414884190694
0.201,0,0,0,693.307021167871
0.204,0,0,0,661.024860338135
0.207,0,0,0,628.663928933184
0.21,0,0,0,596.31776249359
0.213,0,0,0,564.077307683729
0.216,0,0,0,532.03047739645
0.219,0,0,0,500.261845915819
0.222,0,0,0,468.852472206656
0.225,0,0,0,437.879845371107
0.228,0,0,0,407.417957901617
0.231,0,0,0,377.537529149577
0.234,0,0,0,348.30642285429
0.237,0,0,0,319.790328217874
0.24,0,0,0,292.053803958635
0.243,0,0,0,265.161820069117
0.246,0,0,0,239.181975182962
0.249,0,0,0,214.187623285332
0.252,0,0,0,190.262220078657
0.255,0,0,0,167.505309849532
0.258,0,0,0,146.040739597892
0.261,0,0,0,126.027943821519
0.264,0,0,0,107.677549942925
0.267,0,0,0,91.2732157978489
0.27,0,0,0,77.2027044410953
0.273,0,0,0,66.003107035818
0.276,0,0,0,58.4282796626169
0.279,0,0,0,55.5532402100322
0.282,0,0,0,58.9372327925725
0.285,0,0,0,70.9077958578997
0.288,0,0,0,94.9529919277834
0.291,0,0,0,136.846339084852
0.294,0,0,0,204.013957277938
0.297,0,0,0,316.877092595702
0.3,0,0,0,465.328270254817
0,0.002,4,6,-952.204154137336
0.003,0.002,0.723593057727669,0.210555424789167,-330.109299415074
0.006,0.002,0.26600562284942,0.139097419299856,206.215434036448
0.009,0.002,0.121344049900375,0.0190475256495631,537.994756573013
0.012,0.002,0.0684530199738604,0.00718226622014305,730.645765570157
0.015,0.002,0.045793063484256,0.00118191100121973,856.327297736738
0.018,0.002,0.0347282083331986,-0.0001014120006599,942.569735588643
0.021,0.002,0.0291439084050488,-0.000745011526077334,1005.54264193566
0.024,0.002,0.0266342808486928,-0.00114336019422219,1053.63780561753
0.027,0.002,0.0261733051245617,-0.00151367254144975,1091.76544535862
0.03,0.002,0.0272548545427841,-0.00188263502213337,1122.88079761362
0.033,0.002,0.0295979283551026,-0.00225388275510269,1148.86105560017
0.036,0.002,0.0330262684263828,-0.00262225797176655,1170.94446135922
0.039,0.002,0.0374178515704943,-0.00298317137694336,1189.97708957297
