x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,848.14596704211,3
0.003,0.0,0.0,0.0,743.988830319119,2
0.006,0.0,0.0,0.0,599.595199699091,2
0.009,0.0,0.0,0.0,516.115322404332,2
0.012,0.0,0.0,0.0,468.598091288659,2
0.015,0.0,0.0,0.0,439.308898933253,2
0.018,0.0,0.0,0.0,420.158486207791,2
0.021,0.0,0.0,0.0,406.882963449028,2
0.024,0.0,0.0,0.0,397.247911856864,2
0.027,0.0,0.0,0.0,389.987100964708,2
0.03,0.0,0.0,0.0,384.347136042417,2
0.033,0.0,0.0,0.0,379.855279925024,2
0.036,0.0,0.0,0.0,376.201627417798,2
0.039,0.0,0.0,0.0,373.175038132209,2
0.042,0.0,0.0,0.0,370.626891719739,2
0.045,0.0,0.0,0.0,368.449624186932,2
0.048,0.0,0.0,0.0,366.563520615242,2
0.051,0.0,0.0,0.0,364.908295512632,2
0.054,0.0,0.0,0.0,363.43755444971,2
0.057,0.0,0.0,0.0,362.115046949487,2
0.06,0.0,0.0,0.0,360.91206625379,2
0.063,0.0,0.0,0.0,359.80560288329,2
0.066,0.0,0.0,0.0,358.777005341799,2
0.069,0.0,0.0,0.0,357.810989160351,2
0.072,0.0,0.0,0.0,356.894889608454,2
0.075,0.0,0.0,0.0,356.018087578175,2
0.078,0.0,0.0,0.0,355.171560209626,2
0.081,0.0,0.0,0.0,354.347522358211,2
0.084,0.0,0.0,0.0,353.539134752413,2
0.087,0.0,0.0,0.0,352.740261341422,2
0.09,0.0,0.0,0.0,351.945262940163,2
0.093,0.0,0.0,0.0,351.148817520304,2
0.096,0.0,0.0,0.0,350.345759809285,2
0.099,0.0,0.0,0.0,349.530934537764,2
0.102,0.0,0.0,0.0,348.699058917252,2
0.105,0.0,0.0,0.0,347.84459087192,2
0.108,0.0,0.0,0.0,346.96160028977,2
0.111,0.0,0.0,0.0,346.043641171517,2
0.114,0.0,0.0,0.0,345.083623096739,2
0.117,0.0,0.0,0.0,344.07368094224,2
0.12,0.0,0.0,0.0,343.005042316637,2
0.123,0.0,0.0,0.0,341.86789275413,2
0.126,0.0,0.0,0.0,340.651239373261,2
0.129,0.0,0.0,0.0,339.342774485921,2
0.132,0.0,0.0,0.0,337.928741568813,2
0.135,0.0,0.0,0.0,336.393807111502,2
0.138,0.0,0.0,0.0,334.720943153169,2
0.141,0.0,0.0,0.0,332.891326824314,2
0.144,0.0,0.0,0.0,330.884264912271,2
0.147,0.0,0.0,0.0,328.677153336341,2
0.15,0.0,0.0,0.0,326.245483378262,2
0.153,0.0,0.0,0.0,323.562908445457,2
0.156,0.0,0.0,0.0,320.601386864806,2
0.159,0.0,0.0,0.0,317.331417457434,2
0.162,0.0,0.0,0.0,313.72238509648,2
0.165,0.0,0.0,0.0,309.743032693663,2
0.168,0.0,0.0,0.0,305.362073639887,2
0.171,0.0,0.0,0.0,300.548954175882,2
0.174,0.0,0.0,0.0,295.274768091082,2
0.177,0.0,0.0,0.0,289.513316304168,2
0.18,0.0,0.0,0.0,283.242291311033,2
0.183,0.0,0.0,0.0,276.444551646437,2
0.186,0.0,0.0,0.0,269.109435356604,2
0.189,0.0,0.0,0.0,261.234045539539,2
0.192,0.0,0.0,0.0,252.824427297071,2
0.195,0.0,0.0,0.0,243.896546291937,2
0.198,0.0,0.0,0.0,234.476976839381,2
0.201,0.0,0.0,0.0,224.603213969388,2
0.204,0.0,0.0,0.0,214.323540155915,2
0.207,0.0,0.0,0.0,203.696403131409,2
0.21,0.0,0.0,0.0,192.789294652756,2
0.213,0.0,0.0,0.0,181.677158194706,2
0.216,0.0,0.0,0.0,170.440392333292,2
0.219,0.0,0.0,0.0,159.162551746826,2
0.222,0.0,0.0,0.0,147.927875365302,2
0.225,0.0,0.0,0.0,136.81878823603,2
0.228,0.0,0.0,0.0,125.913528469154,2
0.231,0.0,0.0,0.0,115.28404301863,2
0.234,0.0,0.0,0.0,104.994277393471,2
0.237,0.0,0.0,0.0,95.098957402535,2
0.24,0.0,0.0,0.0,85.642929537995,2
0.243,0.0,0.0,0.0,76.6610951468291,2
0.246,0.0,0.0,0.0,68.1789469547994,2
0.249,0.0,0.0,0.0,60.2136994937105,2
0.252,0.0,0.0,0.0,52.7760018942207,2
