x,y,ux,uy,p
0,0,0,0,2502.35970525037
0.003,0,0,0,2820.33472011097
0.006,0,0,0,2523.85535190033
0.009,0,0,0,2290.55003111613
0.012,0,0,0,2162.03612236084
0.015,0,0,0,2082.23054461727
0.018,0,0,0,2031.65312980859
0.021,0,0,0,1997.68586442105
0.024,0,0,0,1973.98333280364
0.027,0,0,0,1956.86803382535
0.03,0,0,0,1944.16958239528
0.033,0,0,0,1934.52780202578
0.036,0,0,0,1927.0546692497
0.039,0,0,0,1921.1468514099
0.042,0,0,0,1916.38063200712
0.045,0,0,0,1912.44980303744
0.048,0,0,0,1909.12765475343
0.051,0,0,0,1906.24284863899
0.054,0,0,0,1903.66360925431
0.057,0,0,0,1901.28705694994
0.06,0,0,0,1899.03181189898
0.063,0,0,0,1896.83273368118
0.066,0,0,0,1894.63708697901
0.069,0,0,0,1892.4016786056
0.072,0,0,0,1890.09066739462
0.075,0,0,0,1887.67384680026
0.078,0,0,0,1885.12526331654
0.081,0,0,0,1882.42207540094
0.084,0,0,0,1879.54358546979
0.087,0,0,0,1876.47039661316
0.09,0,0,0,1873.18365901745
0.093,0,0,0,1869.66438064284
0.096,0,0,0,1865.89278376123
0.099,0,0,0,1861.8476943743
0.102,0,0,0,1857.50595588668
0.105,0,0,0,1852.84186211353
0.108,0,0,0,1847.82660804648
0.111,0,0,0,1842.42775999267
0.114,0,0,0,1836.60874988511
0.117,0,0,0,1830.32840183037
0.12,0,0,0,1823.54050235968
0.123,0,0,0,1816.1934293764
0.126,0,0,0,1808.22985839021
0.129,0,0,0,1799.58656817466
0.132,0,0,0,1790.19437129066
0.135,0,0,0,1779.97819771196
0.138,0,0,0,1768.85736171964
0.141,0,0,0,1756.74604286644
0.144,0,0,0,1743.5540106501
0.147,0,0,0,1729.18761904032
0.15,0,0,0,1713.55109064829
0.153,0,0,0,1696.54810066391
0.156,0,0,0,1678.08365743739
0.159,0,0,0,1658.06625975419
0.162,0,0,0,1636.41029085043
0.165,0,0,0,1613.03858694976
0.168,0,0,0,1587.88509505719
0.171,0,0,0,1560.89751298765
0.174,0,0,0,1532.03978668488
0.177,0,0,0,1501.29432861946
0.18,0,0,0,1468.66381918758
0.183,0,0,0,1434.17246278483
0.186,0,0,0,1397.86659280947
0.189,0,0,0,1359.8145549935
0.192,0,0,0,1320.10584414841
0.195,0,0,0,1278.84952183306
0.198,0,0,0,1236.17199631253
0.201,0,0,0,1192.21429535244
0.204,0,0,0,1147.12900083039
0.207,0,0,0,1101.07703687226
0.21,0,0,0,1054.22450724642
0.213,0,0,0,1006.73976266782
0.216,0,0,0,958.790846826129
0.219,0,0,0,910.543426169093
0.222,0,0,0,862.159259338214
0.225,0,0,0,813.795215132752
0.228,0,0,0,765.602810348227
0.231,0,0,0,717.728217265527
0.234,0,0,0,670.312689950175
0.237,0,0,0,623.493382158477
0.24,0,0,0,577.404579310406
0.243,0,0,0,532.179443515933
0.246,0,0,0,487.95247501504
0.249,0,0,0,444.863028429617
0.252,0,0,0,403.060395114812
0.255,0,0,0,362.71118904354
0.258,0,0,0,324.010082730112
0.261,0,0,0,287.195385889367
0.264,0,0,0,252.571638866223
0.267,0,0,0,220.542479702938
0.27,0,0,0,191.65883844445
0.273,0,0,0,166.69065261566
0.276,0,0,0,146.735571719725
0.279,0,0,0,133.389262173884
0.282,0,0,0,129.014546612155
0.285,0,0,0,137.213156054245
0.288,0,0,0,163.498781263637
0.291,0,0,0,217.16933415297
0.294,0,0,0,310.652166623147
0.297,0,0,0,477.53910683039
0.3,0,0,0,704.293799170296
0,0.002,7,3,3291.55850303693
0.003,0.002,3.21464258221067,0.47733107120519,3045.5090423048
0.006,0.002,2.36366123994623,0.394890284853452,2587.24079243045
0.009,0.002,1.84150071473571,0.23634372198722,2347.48339799582
0.012,0.002,1.49643030041688,0.16266681985743,2199.55554855761
0.015,0.002,1.25363834310457,0.114441630222564,2110.57692953814
0.018,0.002,1.07607001277105,0.084121379244004,2053.01073770992
0.021,0.002,0.942019098337856,0.0637383319661085,2014.26546674932
0.024,0.002,0.838173994526156,0.0495624258735743,1987.08085600886
0.027,0.002,0.756040183881266,0.0393252229075142,1967.38744584138
0.03,0.002,0.689999315711773,0.0317006864473802,1952.72822804957
0.033,0.002,0.636212234839128,0.0258658641495115,1941.56300675918
0.036,0.002,0.591976185518296,0.0212958945417015,1932.88244192793
0.039,0.002,0.555336950543398,0.0176443013694959,1926.00080392711
0.042,0.002,0.524847497192979,0.0146756862361175,1920.43691925372
0.045,0.002,0.499413529491982,0.0122257463626494,1915.8436930454
0.048,0.002,0.47819199852224,0.0101769848532165,1911.96471171725
0.051,0.002,0.460522781206722,0.00844348836394504,1908.60663993461
0.054,0.002,0.445881661186798,0.00696114008747344,1905.62111371061
0.057,0.002,0.433847317410459,0.00568117114207742,1902.89252599492
0.06,0.002,0.424077725452333,0.00456581687348027,1900.3295699039
0.063,0.002,0.416293010885197,0.00358533145973035,1897.85923855551
0.066,0.002,0.410262806139588,0.00271589836400448,1895.42246668048
0.069,0.002,0.405796802868248,0.00193814362051555,1892.97089095918
0.072,0.002,0.402737605488171,0.00123606245147142,1890.46438561624
0.075,0.002,0.40095526371514,0.000596234318167317,1887.86914299127
0.078,0.002,0.400343044023975,7.24266774458567e-06,1885.1561417207
0.081,0.002,0.400814123736935,-0.000540757635423201,1882.29989311445
0.084,0.002,0.402298976717795,-0.00105636453263473,1879.2773884655
0.087,0.002,0.404743279101119,-0.00154717210229962,1876.06719201882
0.09,0.002,0.408106205339934,-0.00201995233333849,1872.6486396724
0.093,0.002,0.412359014537926,-0.00248078904290224,1869.00111444508
0.096,0.002,0.417483848185294,-0.00293517368538821,1865.10337779558
0.099,0.002,0.423472675526363,-0.00338806999342489,1860.9329419977
0.102,0.002,0.430326333582757,-0.00384395239104558,1856.46547363656
0.105,0.002,0.438053616574573,-0.00430682170011598,1851.67422235207
0.108,0.002,0.446670375034934,-0.00478020067744741,1846.52947254724
0.111,0.002,0.456198589002508,-0.00526711127908471,1840.99801912801
0.114,0.002,0.466665382872464,-0.0057700351934073,1835.04267160999
0.117,0.002,0.478101952281367,-0.00629085908415275,1828.62179421659
0.12,0.002,0.490542376247,-0.00683080612292432,1821.68889295339
0.123,0.002,0.50402229111284,-0.00739035576252405,1814.19226407514
0.126,0.002,0.518577407084778,-0.00796915430526817,1806.07472180794
0.129,0.002,0.534241853713197,-0.00856591964879149,1797.27342653385
0.132,0.002,0.551046347965316,-0.00917834462995715,1787.71983770289
0.135,0.002,0.569016187902633,-0.00980300460097071,1777.33981824988
0.138,0.002,0.58816908668974,-0.0104352761991776,1766.05391892492
0.141,0.002,0.608512875830319,-0.0110692756157613,1753.7778712903
0.144,0.002,0.63004312305092,-0.0116978258878074,1740.42331672883
0.147,0.002,0.652740728727765,-0.0123124636448419,1725.89879515668
0.15,0.002,0.6765695843829,-0.0129034961016512,1710.11101076445
0.153,0.002,0.701474396309869,-0.0134601186372435,1692.96638263428
0.156,0.002,0.727378795071421,-0.0139706017593433,1674.37287528002
0.159,0.002,0.754183865206272,-0.0144225533792361,1654.24208808518
0.162,0.002,0.781767236374279,-0.0148032579524252,1632.49156369817
0.165,0.002,0.809982874583044,-0.0151000881665107,1609.04725458445
0.168,0.002,0.838661697475374,-0.0153009776887028,1583.84606555326
0.171,0.002,0.86761310895292,-0.0153949355070043,1556.83837011537
